,0
0,memsahib abohm abohm
1,ohm ohm memsahib
2,ohm sahib ohm
3,ohm memsahib ohm
4,ohm sahib ohm
5,ohm memsahib ohm
6,memsahib abohm abohm
7,memsahib ohm ohm
8,sahib megohm megohm
9,megohm megohm memsahib
10,sahib ohm ohm
11,sahib ohm ohm
12,memsahib abohm abohm
13,memsahib megohm megohm
14,memsahib megohm megohm
15,ohm ohm sahib
16,abohm abohm memsahib
17,memsahib abohm abohm
18,megohm megohm memsahib
19,ohm memsahib ohm
20,memsahib megohm megohm
21,megohm memsahib megohm
22,sahib abohm abohm
23,abohm sahib abohm
24,memsahib megohm megohm
25,sahib abohm abohm
26,ohm sahib ohm
27,megohm memsahib megohm
28,abohm sahib abohm
29,megohm megohm memsahib
30,memsahib ohm ohm
31,ohm memsahib ohm
32,ohm ohm sahib
33,ohm sahib ohm
34,megohm memsahib megohm
35,sahib ohm ohm
36,memsahib ohm ohm
37,memsahib abohm abohm
38,sahib ohm ohm
39,memsahib ohm ohm
40,ohm ohm memsahib
41,sahib abohm abohm
42,memsahib ohm ohm
43,memsahib abohm abohm
44,memsahib megohm megohm
45,megohm megohm sahib
46,abohm abohm sahib
47,sahib megohm megohm
48,memsahib ohm ohm
49,memsahib megohm megohm
50,memsahib abohm abohm
51,memsahib abohm abohm
52,sahib ohm ohm
53,ohm memsahib ohm
54,ohm ohm sahib
55,abohm memsahib abohm
56,megohm megohm sahib
57,ohm sahib ohm
58,memsahib ohm ohm
59,megohm megohm memsahib
60,sahib megohm megohm
61,memsahib abohm abohm
62,ohm ohm memsahib
63,abohm abohm memsahib
64,ohm ohm memsahib
65,sahib megohm megohm
66,abohm abohm sahib
67,ohm memsahib ohm
68,abohm abohm sahib
69,megohm megohm sahib
70,megohm memsahib megohm
71,ohm ohm memsahib
72,memsahib ohm ohm
73,memsahib ohm ohm
74,ohm memsahib ohm
75,memsahib ohm ohm
76,memsahib ohm ohm
77,ohm ohm memsahib
78,abohm abohm sahib
79,abohm abohm memsahib
80,ohm ohm sahib
81,memsahib ohm ohm
82,megohm memsahib megohm
83,memsahib megohm megohm
84,megohm megohm memsahib
85,sahib ohm ohm
86,ohm ohm memsahib
87,ohm ohm memsahib
88,ohm sahib ohm
89,sahib megohm megohm
90,ohm memsahib ohm
91,abohm memsahib abohm
92,ohm memsahib ohm
93,megohm megohm sahib
94,sahib ohm ohm
95,sahib ohm ohm
96,sahib megohm megohm
97,megohm sahib megohm
98,ohm memsahib ohm
99,ohm memsahib ohm
100,megohm megohm sahib
101,memsahib ohm ohm
102,sahib megohm megohm
103,abohm memsahib abohm
104,sahib ohm ohm
105,sahib ohm ohm
106,megohm sahib megohm
107,ohm sahib ohm
108,ohm sahib ohm
109,abohm abohm memsahib
110,ohm memsahib ohm
111,ohm ohm sahib
112,megohm megohm sahib
113,abohm memsahib abohm
114,sahib ohm ohm
115,ohm ohm sahib
116,ohm memsahib ohm
117,ohm memsahib ohm
118,sahib ohm ohm
119,megohm sahib megohm
120,megohm memsahib megohm
121,memsahib ohm ohm
122,memsahib ohm ohm
123,ohm ohm sahib
124,megohm megohm sahib
125,memsahib ohm ohm
126,ohm ohm memsahib
127,ohm memsahib ohm
128,sahib megohm megohm
129,abohm abohm memsahib
130,memsahib ohm ohm
131,sahib ohm ohm
132,sahib ohm ohm
133,megohm sahib megohm
134,sahib ohm ohm
135,ohm ohm sahib
136,ohm ohm memsahib
137,ohm ohm memsahib
138,ohm memsahib ohm
139,abohm abohm memsahib
140,ohm sahib ohm
141,ohm ohm sahib
142,sahib ohm ohm
143,abohm abohm sahib
144,sahib megohm megohm
145,ohm ohm memsahib
146,sahib ohm ohm
147,sahib megohm megohm
148,ohm ohm memsahib
149,abohm memsahib abohm
150,ohm ohm sahib
151,abohm abohm sahib
152,sahib ohm ohm
153,sahib abohm abohm
154,abohm sahib abohm
155,abohm abohm sahib
156,ohm sahib ohm
157,ohm memsahib ohm
158,megohm megohm memsahib
159,sahib ohm ohm
160,ohm memsahib ohm
161,ohm ohm sahib
162,memsahib ohm ohm
163,ohm ohm memsahib
164,memsahib ohm ohm
165,sahib megohm megohm
